job_category,skills,field_of_study
Graphic Designer,adaptability | Adobe Illustrator | Adobe InDesign | Adobe Photoshop | analytical thinking | color theory | Communication | communication skills | Customer Service | Interaction Design | Layout Design | Leadership | Problem Solving | Project Coordination | Social Media Design | teamwork | Typography | typography | usability testing | user research | User Research | Visual Design | wireframing,Graphic Design
HR Specialist,adaptability | analytical thinking | communication skills | Critical Thinking | customer service | employee engagement | Employee Engagement | Employee Relations | hr policies | interviewing | labour law | Labour Law | leadership | Leadership | Microsoft PowerPoint | Microsoft Word | Onboarding | Payroll | Performance Management | presentation skills | problem solving | Problem Solving | Recruitment | teamwork | time management | Time Management | Training and Development,Psychology
Electrical Engineer,adaptability | analytical thinking | AutoCAD Electrical | Circuit Design | Commissioning | Communication | Control Systems | customer service | Instrumentation | leadership | Leadership | mechanical design | microsoft powerpoint | multitasking | presentation skills | preventive maintenance | Preventive Maintenance | Project Coordination | Quality Control | quality control | simulation software | SolidWorks | technical documentation | Wiring Diagram,Electrical Engineering
Nurse,Clinical Procedures | Communication | Counselling | Customer Service | Electronic Medical Records | Emergency Response | Health Education | Infection Control | Leadership | Medical Terminology | Microsoft PowerPoint | Microsoft Word | Patient Care | Problem Solving | Project Coordination | Teamwork | Time Management | Vital Signs | Vital Signs Monitoring,Nursing
Digital Marketing Specialist,analytical thinking | attention to detail | Brand Awareness | Campaign Management | canva | Canva | Content Marketing | Copywriting | Critical Thinking | crm | Customer Service | Digital Marketing | Google Ads | Google Analytics | Influencer Marketing | Leadership | Market Research | marketing analytics | Microsoft PowerPoint | microsoft word | multitasking | presentation skills | Project Coordination | Public Relations | SEM | SEO | Social Media Marketing | Storytelling | Time Management,Mass Communication
DevOps Engineer,agile | Ansible | Automation | C++ | Cloud Deployment | Debugging | Docker | Express.js | Kubernetes | Microsoft PowerPoint | Monitoring | multitasking | object oriented programming | presentation skills | react | scrum | SQL | System Administration | unit testing,Software Engineering
Civil Engineer,3D Modelling | 3d modelling | AutoCAD | Bill of Quantities | communication skills | Construction Management | Customer Service | Electrical Design | leadership | Leadership | mechanical design | Microsoft PowerPoint | Microsoft Word | PLC | plc programming | Presentation Skills | Preventive Maintenance | Problem Solving | Project Coordination | project coordination | Quality Control | Root Cause Analysis | Safety Compliance | safety compliance | Simulation | SolidWorks | Teamwork | Technical Documentation,Civil Engineering
Finance & Accounting Executive,accounting | Accounting | Accounts Receivable | attention to detail | Auditing | Budgeting | Cash Flow Management | Costing | Critical Thinking | Customer Service | Financial Analysis | Forecasting | General Ledger | Oracle Finance | Presentation Skills | Reconciliation | Risk Management | Taxation | Teamwork | Time Management,Accounting & Finance
Supply Chain Executive,A/B Testing | Big Data | Communication | critical thinking | Critical Thinking | data cleaning | Data Visualization | Data Warehousing | Demand Forecasting | ETL | Feature Engineering | Leadership | Logistics | machine learning | Microsoft PowerPoint | Order Processing | pandas | Power BI | Presentation Skills | Problem Solving | regression analysis | Statistics | Time Series Analysis | Vendor Management,Business Administration
Civil Engineer,3D Modelling | AutoCAD | Construction Management | Critical Thinking | critical thinking | customer service | Customer Service | electrical design | Mechanical Design | Microsoft PowerPoint | microsoft powerpoint | microsoft word | Microsoft Word | multitasking | PLC | presentation skills | Presentation Skills | preventive maintenance | Project Coordination | Quality Control | simulation software | Site Supervision | Structural Design | Teamwork | technical documentation | Tendering,Civil Engineering
Customer Support Executive,analytical thinking | attention to detail | Call Handling | Communication | counselling | critical thinking | Critical Thinking | CRM System | Customer Service | emergency response | Infection Control | Leadership | medical terminology | Medical Terminology | medication administration | microsoft word | multitasking | Patient Care | patient care | Phlebotomy | phlebotomy | presentation skills | Problem Solving | Project Coordination | Service Recovery | teamwork | Teamwork | vital signs monitoring,Hospitality & Tourism
Data Scientist,Communication | critical thinking | Critical Thinking | Customer Service | Leadership | Microsoft PowerPoint | Microsoft Word | Model Evaluation | multitasking | Pandas | Presentation Skills | Problem Solving | Project Coordination | Scikit-Learn | Statistics | Teamwork | Time Management | Time Series Analysis,Computer Science
Mechanical Engineer,3D Modelling | AutoCAD | Critical Thinking | Customer Service | Electrical Design | Leadership | Maintenance | Manufacturing Process | Mechanical Design | mechanical design | Microsoft PowerPoint | Microsoft Word | presentation skills | Presentation Skills | Preventive Maintenance | Problem Solving | Project Coordination | Project Management | Quality Control | root cause analysis | Root Cause Analysis | Safety Compliance | Simulation | SolidWorks | Teamwork | Technical Documentation | Time Management,Mechatronics
Data Scientist,adaptability | Communication | communication skills | Critical Thinking | customer service | Customer Service | Jupyter Notebook | Leadership | Machine Learning | microsoft word | Microsoft Word | Natural Language Processing | presentation skills | Presentation Skills | Problem Solving | Project Coordination | project coordination | Statistics | Teamwork | time management | Time Management | Time Series Analysis,Computer Science
Sales Executive,attention to detail | Closing Sales | Cold Calling | Communication | Critical Thinking | Customer Service | Lead Generation | leadership | Leadership | Microsoft PowerPoint | Microsoft Word | Presentation Skills | problem solving | Problem Solving | Product Knowledge | Project Coordination | teamwork | Teamwork | Time Management,Business Administration
Chemical Engineer,3D Modelling | analytical thinking | critical thinking | Critical Thinking | Electrical Design | hvac design | Laboratory Testing | Leadership | microsoft word | multitasking | P&ID | Plant Operation | Presentation Skills | Preventive Maintenance | Problem Solving | Process Control | Process Design | Project Coordination | project management | Quality Control | quality control | Root Cause Analysis | Safety Compliance | Safety Management | SolidWorks | teamwork | Teamwork | technical documentation | Technical Documentation | Troubleshooting,Chemical Engineering
Teacher / Lecturer,adaptability | analytical thinking | Assessment Design | Classroom Management | Communication | counselling | Counselling | critical thinking | Critical Thinking | curriculum development | Curriculum Development | e-learning tools | educational technology | learning materials development | Lesson Planning | multitasking | Online Teaching | online teaching | Presentation Skills | problem solving | Problem Solving | Project Coordination | Record Keeping | Student Engagement | student engagement | teaching | Teaching Materials | teamwork | Teamwork | time management,Mass Communication
Sales Executive,Cold Calling | Content Marketing | Copywriting | CRM | Customer Relationship | Customer Service | Digital Marketing | Email Marketing | google ads | Influencer Marketing | Instagram Marketing | Lead Generation | Marketing Analytics | microsoft word | Microsoft Word | Negotiation | Problem Solving | Product Knowledge | Prospecting | Sales Target | SEM | sem | seo | Social Media Marketing | Storytelling | Teamwork | Time Management,Marketing
Finance & Accounting Executive,Accounts Payable | Budgeting | Cash Flow Management | Communication | Costing | Critical Thinking | Customer Service | Excel | Financial Analysis | Financial Reporting | Forecasting | Leadership | Microsoft Excel | Microsoft Word | Presentation Skills | Problem Solving | Project Coordination | Reconciliation | Risk Management,Accounting & Finance
Hospitality & Tourism Executive,attention to detail | Cashiering | Clinical Procedures | Counselling | critical thinking | Customer Service | emergency response | Event Coordination | Food and Beverage | Front Office | Guest Service | Health Education | leadership | Leadership | medical terminology | Medical Terminology | Microsoft PowerPoint | microsoft word | Microsoft Word | Phlebotomy | phlebotomy | presentation skills | Presentation Skills | Project Coordination | Reservation | teamwork | Teamwork | Time Management | vital signs monitoring | Vital Signs Monitoring,Business Administration
Mechanical Engineer,3D Modelling | adaptability | AutoCAD | Communication | Critical Thinking | Customer Service | Electrical Design | Leadership | Manufacturing Process | Mechanical Design | Microsoft PowerPoint | Microsoft Word | PLC | Presentation Skills | Preventive Maintenance | Problem Solving | Project Coordination | Project Management | Quality Control | Root Cause Analysis | Simulation | solidworks | SolidWorks | Teamwork | Technical Documentation | Technical Drawing,Mechatronics
Digital Marketing Specialist,adobe photoshop | analytical thinking | Brand Management | Canva | Communication | communication skills | Content Marketing | Copywriting | Critical Thinking | CRM | Digital Marketing | Facebook Ads | facebook ads | influencer marketing | Influencer Marketing | Market Research | Marketing Analytics | Microsoft PowerPoint | microsoft word | Microsoft Word | Presentation Skills | Social Media Marketing | teamwork | Teamwork,Marketing
Customer Support Executive,adaptability | analytical thinking | attention to detail | Communication | Complaint Handling | critical thinking | Critical Thinking | customer service | Customer Service | Email Support | Follow Up | leadership | Leadership | Live Chat | Microsoft PowerPoint | microsoft powerpoint | microsoft word | Microsoft Word | multitasking | presentation skills | Presentation Skills | problem solving | Problem Solving | Project Coordination | project coordination | Service Recovery | teamwork | Teamwork | time management | Time Management,Mass Communication
Customer Support Executive,Call Handling | Clinical Procedures | Communication | Complaint Handling | Counselling | Electronic Medical Records | Follow Up | Health Education | Leadership | Medication Administration | Microsoft Word | Patient Care | Phlebotomy | Presentation Skills | Problem Solving | Service Recovery | Teamwork | Time Management | Vital Signs Monitoring,Hospitality & Tourism
Data Analyst,analytical thinking | Communication | data cleaning | Data Cleaning | data visualization | Data Visualization | Descriptive Statistics | etl | excel | Excel | Google Analytics | hypothesis testing | Pivot Table | Power BI | Problem Solving | python | Reporting | SQL | Tableau,Information Technology
HR Specialist,attention to detail | Communication | communication skills | compensation and benefits | Conflict Resolution | Customer Service | Employee Engagement | Employee Relations | employee relations | exit interview | HR Policies | HRIS | Interviewing | Labour Law | Microsoft PowerPoint | multitasking | onboarding | Onboarding | Payroll | payroll | Performance Management | problem solving | Problem Solving | Recruitment | talent acquisition | Teamwork | time management | training and development,Human Resource Management
Cybersecurity Analyst,analytical thinking | attention to detail | Communication | communication skills | Critical Thinking | customer service | Customer Service | Leadership | microsoft powerpoint | microsoft word | Microsoft Word | multitasking | Network Security | Presentation Skills | Problem Solving | Project Coordination | project coordination | Security Audit | SIEM | Teamwork | time management | Time Management | Vulnerability Assessment,Computer Science
DevOps Engineer,Agile | Automation | CI/CD | clean code | Code Review | docker | Express.js | Infrastructure as Code | Linux | Microsoft PowerPoint | multitasking | Node.js | NoSQL | nosql | Presentation Skills | Project Coordination | python | React | Scrum | System Administration | Teamwork | Time Management,Information Technology
Civil Engineer,3d modelling | analytical thinking | autocad | AutoCAD | Bill of Quantities | Communication | Concrete | Construction Management | Drawing Review | Electrical Design | Health and Safety | Mechanical Design | mechanical design | Microsoft Word | Preventive Maintenance | problem solving | Problem Solving | Project Coordination | project coordination | Project Management | Root Cause Analysis | Site Supervision | SolidWorks | teamwork | Teamwork,Civil Engineering
Graphic Designer,Adobe Illustrator | analytical thinking | Branding | branding | color theory | Creative Thinking | Layout Design | Microsoft PowerPoint | Presentation Skills | Print Design | problem solving | Problem Solving | project coordination | Responsive Design | Teamwork | Typography | UI Design | Usability Testing | usability testing | UX Design,Multimedia
UI/UX Designer,Adobe Photoshop | Branding | Communication | Customer Service | Design System | Design Systems | Figma | Illustrator | Interaction Design | Microsoft PowerPoint | Microsoft Word | Problem Solving | Project Coordination | Prototyping | Teamwork | Time Management | Typography | Usability Testing | User Flow | User Research,Graphic Design
Data Scientist,A/B Testing | Classification | clustering | Clustering | communication skills | Customer Service | data visualization | Data Visualization | Deep Learning | Excel | Google Analytics | Jupyter Notebook | Machine Learning | microsoft powerpoint | Microsoft Word | Pandas | Power BI | Project Coordination | Python | PyTorch | R | Regression | SQL | Statistics | teamwork | TensorFlow | Time Management | Time Series Analysis,Data Science
Customer Support Executive,Call Handling | Clinical Procedures | Communication | Counselling | CRM System | customer service | Email Support | Emergency Response | Follow Up | Health Education | infection control | Leadership | Medical Terminology | Microsoft PowerPoint | Microsoft Word | multitasking | patient assessment | Phlebotomy | Problem Solving | Service Recovery | teamwork | Time Management | vital signs monitoring | Vital Signs Monitoring,Hospitality & Tourism
Mechanical Engineer,adaptability | Communication | Critical Thinking | Customer Service | Electrical Design | Maintenance | Mechanical Design | Microsoft PowerPoint | multitasking | presentation skills | Presentation Skills | Project Coordination | project coordination | Project Management | project management | Quality Control | Root Cause Analysis | safety compliance | Simulation | SolidWorks | Teamwork | technical documentation | Technical Drawing | Troubleshooting,Mechatronics
Hospitality & Tourism Executive,attention to detail | Clinical Procedures | clinical procedures | Critical Thinking | Customer Service | Emergency Response | Event Coordination | Food and Beverage | Front Office | Guest Service | Infection Control | Leadership | microsoft word | Microsoft Word | Patient Care | POS System | Presentation Skills | problem solving | Problem Solving | Reservation | teamwork | Teamwork | vital signs monitoring,Hospitality & Tourism
Finance & Accounting Executive,accounting | Accounts Payable | adaptability | Auditing | Bank Reconciliation | Budgeting | Communication | Corporate Finance | costing | Costing | Customer Service | financial analysis | Financial Analysis | Financial Reporting | Forecasting | General Ledger | Leadership | Microsoft PowerPoint | microsoft word | Oracle Finance | Presentation Skills | problem solving | profit and loss analysis | Project Coordination | Risk Management | sap finance | taxation | Taxation | Teamwork | Time Management,Business Administration
Hospitality & Tourism Executive,Clinical Procedures | Communication | Counselling | Critical Thinking | Customer Service | Emergency Response | Food and Beverage | Guest Service | Health Education | Infection Control | Leadership | Medical Terminology | Microsoft PowerPoint | microsoft word | Microsoft Word | Patient Care | Presentation Skills | Problem Solving | Reservation | Teamwork | Time Management | Vital Signs Monitoring,Business Administration
Electrical Engineer,AutoCAD | Circuit Design | Control Systems | Critical Thinking | Customer Service | Instrumentation | Leadership | Maintenance | Mechanical Design | Microsoft Word | PLC | Root Cause Analysis | Safety Compliance | Simulation | SolidWorks | Technical Documentation | Testing | Time Management | Wiring Diagram,Electronics Engineering
Mechanical Engineer,3D Modelling | AutoCAD | Communication | Critical Thinking | Customer Service | electrical design | Electrical Design | Leadership | Maintenance | Manufacturing Process | manufacturing processes | Mechanical Design | mechanical design | Microsoft Word | PLC | Presentation Skills | preventive maintenance | Preventive Maintenance | Problem Solving | Project Coordination | Project Management | Quality Control | Root Cause Analysis | Safety Compliance | safety compliance | SolidWorks | Technical Documentation | Technical Drawing | Time Management,Mechanical Engineering
Customer Support Executive,Call Handling | Clinical Procedures | Communication | Complaint Handling | Critical Thinking | electronic medical records | Emergency Response | Follow Up | Infection Control | Medical Terminology | Microsoft PowerPoint | Microsoft Word | Phlebotomy | Presentation Skills | Problem Solving | Service Recovery | Teamwork | Time Management | Vital Signs Monitoring,Hospitality & Tourism
Data Scientist,adaptability | analytical thinking | attention to detail | Communication | critical thinking | Critical Thinking | Customer Service | Data Preprocessing | Deep Learning | Jupyter Notebook | Leadership | Machine Learning | Microsoft PowerPoint | microsoft powerpoint | microsoft word | Microsoft Word | multitasking | Natural Language Processing | Pandas | Presentation Skills | Problem Solving | Project Coordination | Python | Scikit-Learn | teamwork | Teamwork | time management | Time Management,Computer Science
Software Engineer,api integration | API Integration | C# | customer service | Docker | docker | Express.js | Java | JavaScript | leadership | Microsoft PowerPoint | MySQL | Node.js | nosql | PostgreSQL | Problem Solving | Python | REST API | Spring Boot | Time Management | TypeScript | Unit Testing,Software Engineering
Teacher / Lecturer,Adobe Photoshop | analytical thinking | Assessment | branding | Communication | Counselling | Critical Thinking | Figma | leadership | microsoft powerpoint | problem solving | Prototyping | prototyping | Record Keeping | responsive design | Student Engagement | Teamwork | typography | ui design | UI Design | usability testing | user research | User Research | ux design | Visual Design,Graphic Design
Cybersecurity Analyst,adaptability | analytical thinking | Communication | communication skills | critical thinking | customer service | Customer Service | Firewalls | leadership | Leadership | Malware Analysis | Microsoft PowerPoint | microsoft powerpoint | microsoft word | Microsoft Word | multitasking | Penetration Testing | presentation skills | project coordination | Security Policies | SIEM | teamwork | time management | Time Management | Vulnerability Assessment,Cybersecurity
Nurse,Communication | Counselling | CPR | Critical Thinking | Emergency Response | Health Education | Infection Control | Leadership | Medication Administration | Microsoft PowerPoint | Microsoft Word | Patient Care | Phlebotomy | Project Coordination | Record Keeping | Teamwork | Time Management | Vital Signs Monitoring | Wound Care,Nursing
Software Engineer,agile | api integration | C# | C++ | c++ | Clean Code | Communication | communication skills | Critical Thinking | Docker | docker | express.js | Express.js | Git | JavaScript | Microservices | microsoft word | multitasking | MySQL | PostgreSQL | Presentation Skills | Problem Solving | Project Coordination | Python | REST API | SQL | Teamwork | time management | Time Management | TypeScript,Information Technology
HR Specialist,analytical thinking | Conflict Resolution | Customer Service | Employee Engagement | HR Policies | HRIS | interviewing | Interviewing | labour law | Labour Law | Leadership | Microsoft PowerPoint | microsoft word | multitasking | Onboarding | payroll | Performance Management | performance management | Project Coordination | project coordination | Recruitment | teamwork,Psychology
Finance & Accounting Executive,accounting | Accounts Payable | Accounts Receivable | advanced excel | Auditing | Bank Reconciliation | Budgeting | Cash Flow Management | Costing | Critical Thinking | Customer Service | Excel | financial modelling | Financial Reporting | Forecasting | General Ledger | Leadership | oracle finance | presentation skills | risk management | Taxation | Teamwork | variance analysis,Accounting & Finance
Software Engineer,Agile | analytical thinking | attention to detail | c# | C++ | CI/CD | Clean Code | communication skills | critical thinking | Debugging | design patterns | Git | javascript | microservices | Microsoft PowerPoint | node.js | nosql | object oriented programming | OOP | presentation skills | Problem Solving | project coordination | REST API | spring boot | SQL | sql | time management | Unit Testing | version control,Software Engineering
Digital Marketing Specialist,attention to detail | Brand Awareness | brand management | Communication | Content Marketing | Copywriting | crm | CRM | customer service | Customer Service | Email Marketing | email marketing | Facebook Ads | google ads | influencer marketing | Influencer Marketing | instagram marketing | Market Research | microsoft powerpoint | microsoft word | Microsoft Word | Project Coordination | project coordination | public relations | sem | seo | Social Media Marketing | time management,Mass Communication
Civil Engineer,communication skills | Construction Management | Critical Thinking | Drawing Review | Electrical Design | Health and Safety | leadership | Leadership | Mechanical Design | Microsoft PowerPoint | Presentation Skills | Problem Solving | Project Coordination | Quality Control | Root Cause Analysis | Simulation | simulation software | Site Supervision | Structural Design | technical documentation | Technical Documentation | Time Management,Civil Engineering
Electrical Engineer,3D Modelling | AutoCAD | Circuit Design | Commissioning | Communication | Critical Thinking | Customer Service | electrical design | Electrical Design | Leadership | Maintenance | mechanical design | Microsoft PowerPoint | microsoft word | PLC | Power Systems | Presentation Skills | Preventive Maintenance | Problem Solving | Project Coordination | Quality Control | quality control | Root Cause Analysis | Safety Compliance | Troubleshooting,Electrical Engineering
Electrical Engineer,AutoCAD | AutoCAD Electrical | Control Systems | Customer Service | Electrical Design | Leadership | Maintenance | Microsoft Word | PLC | presentation skills | Project Coordination | Project Management | Quality Control | Root Cause Analysis | SolidWorks | Testing | Time Management | Troubleshooting | Wiring Diagram,Mechatronics
Graphic Designer,adaptability | Adobe Illustrator | Adobe Photoshop | Adobe XD | Branding | Critical Thinking | Customer Service | Design Systems | Microsoft Word | Presentation Skills | Prototyping | prototyping | responsive design | Responsive Design | Social Media Design | Typography | UI Design | Usability Testing | Visual Design | Wireframing,Graphic Design
Graphic Designer,Adobe Illustrator | Adobe Photoshop | Adobe XD | Branding | Communication | Creative Thinking | Critical Thinking | Customer Service | Design Systems | Interaction Design | Logo Design | Microsoft PowerPoint | Presentation Skills | Project Coordination | Teamwork | Time Management | Typography | Usability Testing | User Research | UX Design | Wireframing,Multimedia
DevOps Engineer,agile | attention to detail | CI/CD | Cloud Deployment | Code Review | debugging | Docker | docker | Express.js | Git | Infrastructure as Code | Jenkins | Kubernetes | kubernetes | leadership | Leadership | Linux | microsoft powerpoint | microsoft word | MySQL | mysql | object oriented programming | postgresql | problem solving | Shell Scripting | typescript | TypeScript | Unit Testing,Computer Science
Teacher / Lecturer,adaptability | analytical thinking | Assessment | Assessment Design | attention to detail | Classroom Management | classroom management | Communication | communication skills | counselling | Counselling | critical thinking | Critical Thinking | customer service | e-learning tools | leadership | Leadership | learning materials development | Lesson Planning | mentoring | multitasking | online teaching | problem solving | Record Keeping | Teaching | Teaching Materials | Teamwork,Nursing
Software Engineer,Agile | analytical thinking | API Integration | C# | Critical Thinking | Docker | docker | express.js | Git | Leadership | problem solving | react | REST API | sql | teamwork | Time Management | TypeScript | Unit Testing | Version Control,Software Engineering
Hospitality & Tourism Executive,adaptability | attention to detail | Check In | Clinical Procedures | Communication | Critical Thinking | electronic medical records | Emergency Response | Event Coordination | Food and Beverage | Front Office | Health Education | Infection Control | Leadership | Medical Terminology | Microsoft PowerPoint | microsoft powerpoint | Microsoft Word | Phlebotomy | POS System | problem solving | Project Coordination | Reservation | teamwork | Teamwork | Time Management | vital signs monitoring,Business Administration
Hospitality & Tourism Executive,adaptability | basic life support | Check Out | Clinical Procedures | Communication | Critical Thinking | customer service | Customer Service | Electronic Medical Records | Emergency Response | Front Office | Guest Service | Health Education | infection control | leadership | medical terminology | medication administration | Medication Administration | Microsoft Word | patient assessment | patient care | Phlebotomy | phlebotomy | Presentation Skills | Project Coordination | project coordination | Teamwork | time management | wound care,Business Administration
Pharmacist,analytical thinking | communication skills | Customer Service | Dispensing | Drug Information | Electronic Medical Records | Emergency Response | health education | Health Education | medical terminology | Medical Terminology | Medication Administration | Medication Counselling | Microsoft PowerPoint | Microsoft Word | OTC Recommendation | patient assessment | Pharmacy Management | Prescription Review | Teamwork | time management,Pharmacy
Hospitality & Tourism Executive,Check In | Clinical Procedures | clinical procedures | Communication | counselling | Counselling | Customer Service | Electronic Medical Records | Front Office | Health Education | Infection Control | Medical Terminology | Medication Administration | Microsoft PowerPoint | Microsoft Word | patient care | Phlebotomy | phlebotomy | Presentation Skills | Problem Solving | Project Coordination | Reservation | Teamwork,Hospitality & Tourism
Nurse,adaptability | clinical procedures | Communication | Counselling | CPR | critical thinking | Critical Thinking | Customer Service | Health Education | Infection Control | Leadership | Medication Administration | Microsoft PowerPoint | microsoft word | Microsoft Word | multitasking | Patient Care | phlebotomy | presentation skills | Presentation Skills | problem solving | Problem Solving | Project Coordination | Record Keeping | Teamwork | Time Management | Vital Signs | vital signs monitoring | Wound Care,Nursing
Supply Chain Executive,Big Data | Clustering | Critical Thinking | Customer Service | data cleaning | Data Cleaning | Data Visualization | Data Warehousing | ERP | Excel | Inventory Management | Logistics | Presentation Skills | Problem Solving | Procurement | Project Coordination | project coordination | PyTorch | Shipping | Spark | Statistics | Time Management | Warehouse Management,Supply Chain Management
UI/UX Designer,Adobe Photoshop | Communication | Design Systems | Figma | Illustrator | Information Architecture | interaction design | microsoft powerpoint | Microsoft Word | multitasking | presentation skills | project coordination | Responsive Design | Teamwork | UI Design | Usability Testing | usability testing | User Flow | User Research | visual design | Wireframing,Computer Science
Chemical Engineer,3D Modelling | attention to detail | autocad | critical thinking | Critical Thinking | electrical design | leadership | Leadership | Microsoft PowerPoint | Plant Operation | Presentation Skills | preventive maintenance | problem solving | Project Coordination | project management | Quality Control | Root Cause Analysis | safety compliance | Safety Management | simulation software | technical documentation | Technical Documentation | time management | Time Management,Chemical Engineering
Nurse,basic life support | Communication | communication skills | Counselling | Critical Thinking | customer service | Customer Service | Electronic Medical Records | Emergency Response | Health Education | Infection Control | Leadership | Medication Administration | Microsoft PowerPoint | Phlebotomy | phlebotomy | Presentation Skills | problem solving | Problem Solving | Record Keeping | Teamwork | Time Management | Vital Signs Monitoring | Wound Care,Nursing
Sales Executive,attention to detail | Closing Sales | Cold Calling | Communication | critical thinking | Critical Thinking | Customer Service | leadership | Leadership | Microsoft PowerPoint | Negotiation | Presentation Skills | Problem Solving | Product Knowledge | Project Coordination | Prospecting | Reporting | Sales Target | teamwork | Time Management,Business Administration
HR Specialist,attention to detail | communication skills | compensation and benefits | Conflict Resolution | Customer Service | Employee Relations | exit interview | HR Policies | HRIS | hris | Interviewing | labour law | Labour Law | Leadership | Microsoft PowerPoint | Microsoft Word | Onboarding | Payroll | Problem Solving | Project Coordination | project coordination | Recruitment | recruitment | talent acquisition | Talent Acquisition | Training and Development | training and development,Human Resource Management
Web Developer,adaptability | attention to detail | Backend Development | Bootstrap | C++ | ci/cd pipeline | clean code | Debugging | git | HTML | Java | javascript | microservices | Microservices | Microsoft PowerPoint | microsoft powerpoint | mongodb | MySQL | node.js | NoSQL | OOP | project coordination | Python | React | rest api | scrum | spring boot | sql | Time Management | Web Performance,Information Technology
Web Developer,analytical thinking | Angular | api integration | Bootstrap | C++ | c++ | clean code | code review | critical thinking | debugging | Frontend Development | leadership | MongoDB | MySQL | node.js | Node.js | nosql | object oriented programming | OOP | PHP | react | REST API | teamwork | UI Implementation | unit testing | Vue.js,Software Engineering
Cybersecurity Analyst,Access Control | adaptability | analytical thinking | attention to detail | critical thinking | Critical Thinking | Firewalls | leadership | Leadership | microsoft powerpoint | microsoft word | Microsoft Word | multitasking | Network Security | Penetration Testing | Presentation Skills | problem solving | Problem Solving | Project Coordination | Risk Assessment | Security Audit | Security Policies | SIEM | teamwork | time management | Time Management,Cybersecurity
Chemical Engineer,Communication | Critical Thinking | Customer Service | Electrical Design | Laboratory Testing | Mechanical Design | Microsoft PowerPoint | Microsoft Word | P&ID | Plant Operation | PLC | Presentation Skills | Preventive Maintenance | Problem Solving | Process Control | Process Design | Project Management | Root Cause Analysis | Safety Compliance | Safety Management | SolidWorks | Teamwork | Time Management | Troubleshooting,Chemical Engineering
Mechanical Engineer,3D Modelling | 3d modelling | analytical thinking | AutoCAD | Communication | Customer Service | electrical design | Electrical Design | leadership | Maintenance | Manufacturing Process | Mechanical Design | microsoft word | multitasking | PLC | preventive maintenance | Problem Solving | Quality Control | root cause analysis | Root Cause Analysis | solidworks | SolidWorks | teamwork,Mechanical Engineering
Nurse,Clinical Procedures | Communication | Counselling | CPR | Critical Thinking | Customer Service | Electronic Medical Records | Emergency Response | Health Education | Infection Control | Leadership | Medical Terminology | Medication Administration | Microsoft PowerPoint | Microsoft Word | Patient Care | Phlebotomy | Problem Solving | Project Coordination | Teamwork | Time Management | Vital Signs Monitoring | Wound Care,Nursing
Cybersecurity Analyst,Access Control | Communication | Critical Thinking | Customer Service | Leadership | Malware Analysis | Microsoft PowerPoint | microsoft word | Microsoft Word | presentation skills | Presentation Skills | problem solving | Problem Solving | Project Coordination | Risk Assessment | Security Audit | SIEM | teamwork | Teamwork | Time Management,Computer Science
Customer Support Executive,adaptability | analytical thinking | Communication | communication skills | Complaint Handling | critical thinking | Critical Thinking | CRM System | Customer Service | Leadership | Live Chat | Microsoft PowerPoint | Microsoft Word | multitasking | presentation skills | Presentation Skills | Problem Solving | Project Coordination | Service Recovery | Teamwork | Time Management,Business Administration
DevOps Engineer,AWS | Azure | C# | C++ | ci/cd pipeline | Cloud Deployment | Customer Service | design patterns | docker | javascript | JavaScript | leadership | Leadership | microservices | microsoft word | Microsoft Word | MongoDB | MySQL | object oriented programming | PostgreSQL | postgresql | Presentation Skills | REST API | Scrum | Spring Boot | System Administration | teamwork | Time Management | version control,Information Technology
Civil Engineer,AutoCAD | Bill of Quantities | Concrete | Construction Management | critical thinking | customer service | Customer Service | Drawing Review | Leadership | manufacturing processes | Microsoft PowerPoint | Microsoft Word | Problem Solving | Project Coordination | Safety Compliance | Simulation | SolidWorks | Technical Documentation | Tendering,Civil Engineering
Mechanical Engineer,3D Modelling | autocad | AutoCAD | Communication | critical thinking | Customer Service | Leadership | Mechanical Design | Microsoft PowerPoint | microsoft word | project management | Quality Control | quality control | Simulation | solidworks | SolidWorks | technical documentation | Technical Documentation | Technical Drawing,Mechatronics
Mechanical Engineer,3D Modelling | 3d modelling | attention to detail | AutoCAD | Communication | communication skills | Customer Service | Leadership | Manufacturing Process | Mechanical Design | mechanical design | microsoft powerpoint | microsoft word | preventive maintenance | Preventive Maintenance | problem solving | Problem Solving | Project Coordination | project management | Quality Control | quality control | root cause analysis | Root Cause Analysis | Safety Compliance | safety compliance | solidworks | SolidWorks | Teamwork | Technical Documentation | Time Management,Mechanical Engineering
Finance & Accounting Executive,Accounts Payable | adaptability | analytical thinking | attention to detail | Auditing | Bank Reconciliation | Budgeting | cash flow management | Cash Flow Management | Communication | Costing | critical thinking | Financial Analysis | Financial Reporting | forecasting | investment analysis | leadership | Leadership | Microsoft Excel | Microsoft PowerPoint | microsoft powerpoint | Microsoft Word | Oracle Finance | Presentation Skills | Project Coordination | SAP | Taxation | Teamwork | variance analysis,Business Administration
Electrical Engineer,AutoCAD | AutoCAD Electrical | Circuit Design | Commissioning | Critical Thinking | Customer Service | Maintenance | Mechanical Design | Microsoft Word | PLC | Preventive Maintenance | Problem Solving | Project Coordination | Project Management | Quality Control | Root Cause Analysis | Safety Compliance | Simulation | SolidWorks | Technical Documentation | Testing | Time Management | Troubleshooting | Wiring Diagram,Electrical Engineering
